DB,SITEID,DUPL,TARGSITEID,LAT,LON,ELEV,DATE,TIME,STATE,MAPSHEET,LANDFORM TYPE,GEOMORPH1,GEOMORPH2,LANDUSE1,LANDUSE1a,LANDUSE2,LANDUSE2a,CONTAMtxt,TOSID,TOSTYPE,TOSTOPD,TOSBD,TOSRAD,TOSpH,BOSID,BOSTYPE,BOSTOPD,BOSBD,BOSRAD,BOSpH
field,2007190001,,TS0866,-12.655,142.272,90,09.08.2008,11:30,QLD,Weipa,alluvial terrace,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Nil,2007190001001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190001002,AUGER SAMPLE,0.6,0.85,1,7
field,2007190002,,TS0869,-13.12,141.985,70,09.08.2008,09:00,QLD,Aurukun,alluvial terrace,over bank stream flow,over bank stream flow,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Nil ,2007190002001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190002002,AUGER SAMPLE,0.6,0.8,1,6.5
field,2007190003,2007190213,TS0321,-22.702,114.898,69,02.04.2008,11:10,WA,Yanrey Special,flood plain,channelled stream flow,over bank stream flow,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190003001,PIT TRENCH SAMPLE,0.01,0.1,1,7.5,2007190003002,AUGER SAMPLE,0.6,0.95,1,8
field,2007190004,,TS0339,-22.736,116.122,141,03.05.2008,12:15,WA,Wyloo,alluvial terrace,channelled stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190004001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190004002,AUGER SAMPLE,0.6,0.9,1,8
field,2007190005,2007191059,TS1137,-27.823,153.002,25,29.08.2007,11:20,QLD,Brisbane,alluvial terrace,over bank stream flow,,3 2 0 Dryland Grazing modified pastures,,2 1 0 Grazing natural vegetation,,,2007190005001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190005002,AUGER SAMPLE,0.65,0.85,1,6.5
field,2007190007,,TS0375,-24.117,118.382,389,10.05.2008,11:50,WA,Mount Egerton,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190007001,PIT TRENCH SAMPLE,0,0.1,1,8,2007190007002,PIT TRENCH SAMPLE,0.6,0.9,1,8
field,2007190009,,TS1183,-29.547,148.581,180,04.02.2008,11:30,NSW,Moree,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,roadside reserve behind oval  clean site  some scrap iron nearby 100m,2007190009001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190009002,AUGER SAMPLE,0.5,0.68,1,8
field,2007190010,,TS0716,-17.165,131.413,148,10.04.2008,14:30,NT,VRD,alluvial plain,over bank stream flow,channelled stream flow,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,None,2007190010001,PIT TRENCH SAMPLE,0,0.1,1,8,2007190010002,AUGER SAMPLE,0.6,0.75,1,8.5
field,2007190011,,TS1149,-28.346,146.842,154,31.10.2007,13:30,QLD,Cunnamulla,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190011001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190011002,AUGER SAMPLE,0.63,0.93,1,9
field,2007190012,,TS1022,-22.98,145.247,211,31.03.2008,16:00,QLD,Muttaburra,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190012001,PIT TRENCH SAMPLE,0,0.1,1,9,2007190012002,AUGER SAMPLE,0.74,0.92,1,8.5
field,2007190013,,TS0856,-25.849,135.245,162,07.05.2008,11:40,NT,McDills,flood plain,sheet flow sheet or surface wash,sand deposition wind,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,,None,2007190013001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190013002,AUGER SAMPLE,0.6,0.9,1,6
field,2007190014,,TS1338,-35.752,143.66,87,22.10.2007,15:10,VIC,Kerang,flood plain,over bank stream flow,,3 3 0 Dryland Cropping,,4 3 0 Irrigated cropping,,5m from wheat field,2007190014001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190014002,AUGER SAMPLE,0.57,0.76,1,9
field,2007190015,,TS1036,-23.534,149.707,63,25.10.2007,14:35,QLD,Duaringa,alluvial plain,water,over bank stream flow,3 3 0 Dryland Cropping,3 3 3 Dryland hay & silage,2 1 0 Grazing natural vegetation,,,2007190015001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190015002,AUGER SAMPLE,0.6,0.7,1,8
field,2007190016,,TS0552,-30.857,119.927,342,03.07.2007,11:35,WA,Jackson,playa plain,detrital deposition still water,wind erosion deflation,6 1 0 Lake,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,600 m south of railway,2007190016001,PIT TRENCH SAMPLE,0,0.1,1,8,2007190016002,AUGER SAMPLE,0.6,0.75,1,6
field,2007190017,,TS0279,-20.719,120.924,160,07.06.2008,10:50,WA,Yarrie,irregular dunefield,sand deposition wind,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190017001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190017002,AUGER SAMPLE,0.6,0.9,1,6.5
field,2007190018,,TS0554,-30.963,118.796,310,06.12.2007,08:45,WA,Jackson,flood plain,over bank stream flow,,3 3 0 Dryland Cropping,3 3 1 Dryland cereals,3 3 0 Dryland Cropping,,Nil,2007190018001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190018002,AUGER SAMPLE,0.6,0.9,1,8
field,2007190019,,TS1294,-34.876,150.498,28,30.11.2007,10:25,NSW,Wollongong,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 1 Dairy,2 1 0 Grazing natural vegetation,5 2 1 Dairy,natural flood plain adjacent to Shoalhaven River  clean site  fences nearby 50m,2007190019001,PIT TRENCH SAMPLE,0,0.1,1,8,2007190019002,AUGER SAMPLE,0.64,0.96,1,6
field,2007190021,,TS1134,-27.641,142.781,89,08.06.2008,12:13,QLD,Eulo,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Cattle tracks ,2007190021001,PIT TRENCH SAMPLE,0,0.1,1,8.5,2007190021002,AUGER SAMPLE,0.65,0.89,1,9
field,2007190022,,TS1172,-29.128,149.001,186,05.02.2008,08:35,NSW,Moree,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,4 3 6 Irrigated cotton,2 1 0 Grazing natural vegetation,4 3 6 Irrigated cotton,clean site  road and bridge nearby 60m,2007190022001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190022002,AUGER SAMPLE,0.5,0.66,1,8
field,2007190023,,TS1018,-22.874,138.761,137,03.04.2008,11:40,QLD,Glenormiston,flood plain,channelled stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,nil,2007190023001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190023002,AUGER SAMPLE,0.61,0.81,1,9
field,2007190024,,TS0212,-16.812,122.9,14,13.06.2008,10:40,WA,Pender,flood plain,over bank stream flow,,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,,2007190024001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190024002,AUGER SAMPLE,0.6,0.9,1,7.5
field,2007190025,,TS0997,-22.312,149.474,16,19.10.2007,09:05,QLD,Saint Lawrence,alluvial terrace,water,over bank stream flow,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190025001,PIT TRENCH SAMPLE,0,0.1,1,5,2007190025002,AUGER SAMPLE,0.6,0.7,1,10
field,2007190028,,TS0576,-31.813,123.854,142,22.01.2008,18:05,WA,Zanthus,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190028001,PIT TRENCH SAMPLE,0,0.1,1,8.5,2007190028002,AUGER SAMPLE,0.6,0.75,1,8.5
field,2007190029,,TS0559,-31.157,125.68,159,29.01.2008,17:10,WA,Naretha,peneplain,sheet flow sheet or surface wash,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,,2007190029001,PIT TRENCH SAMPLE,0,0.1,1,8.5,2007190029002,AUGER SAMPLE,0.5,0.65,1,9
field,2007190031,,TS1200,-30.191,147.714,156,15.04.2008,11:25,NSW,Walgett,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,clean site  adjacent to bridge 80m away  no wire rubbish,2007190031001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190031002,AUGER SAMPLE,0.47,0.65,1,8
