LITHOLOGY,LITHGRP
alkaline ultrabasic,MAF
anthropogenic,OTH
argillaceous detrital sediment,SIL
argillaceous detrital sediment; feldspar- or lithic-rich arenite to rudite,SIL
argillaceous detrital sediment; igneous felsic volcanic,SIL
argillaceous detrital sediment; igneous felsic-intermediate intrusive,SIL
argillaceous detrital sediment; igneous felsic-intermediate volcanic,SIL
argillaceous detrital sediment; igneous mafic volcanic,SIL
argillaceous detrital sediment; igneous volcanic,SIL
argillaceous detrital sediment; metasedimentary,SIL
argillaceous detrital sediment; metasedimentary siliciclastic,SIL
argillaceous detrital sediment; mineralisation,SIL
argillaceous detrital sediment; organic-rich rock,SIL
argillaceous detrital sediment; quartz-rich arenite to rudite,SIL
argillaceous detrital sediment; sedimentary,SIL
argillaceous detrital sediment; sedimentary carbonate,SIL
argillaceous detrital sediment; sedimentary non-carbonate chemical or biochemical,SIL
argillaceous detrital sediment; sedimentary siliciclastic,SIL
fault / shear rock,OTH
feldspar- or lithic-rich arenite to rudite,SIL
feldspar- or lithic-rich arenite to rudite; argillaceous detrital sediment,SIL
feldspar- or lithic-rich arenite to rudite; igneous felsic volcanic,SIL
feldspar- or lithic-rich arenite to rudite; igneous intermediate volcanic,SIL
feldspar- or lithic-rich arenite to rudite; igneous mafic volcanic,SIL
feldspar- or lithic-rich arenite to rudite; igneous volcanic,SIL
feldspar- or lithic-rich arenite to rudite; metasedimentary siliciclastic,SIL
feldspar- or lithic-rich arenite to rudite; organic-rich rock,SIL
feldspar- or lithic-rich arenite to rudite; sedimentary carbonate,SIL
feldspar- or lithic-rich arenite to rudite; sedimentary non-carbonate chemical or biochemical,SIL
feldspar- or lithic-rich arenite to rudite; sedimentary siliciclastic,SIL
high grade metamorphic rock,MET
high grade metamorphic rock; fault / shear rock,MET
high grade metamorphic rock; igneous felsic intrusive,MET
high grade metamorphic rock; igneous mafic intrusive,MET
high grade metamorphic rock; meta-igneous mafic,MET
high grade metamorphic rock; meta-igneous mafic intrusive,MET
high grade metamorphic rock; metasedimentary siliciclastic,MET
igneous,IGN
igneous carbonatite,CAR
igneous felsic intrusive,FEL
igneous felsic intrusive; high grade metamorphic rock,FEL
igneous felsic intrusive; igneous felsic volcanic,FEL
igneous felsic intrusive; igneous intermediate intrusive,FEL
igneous felsic intrusive; igneous mafic intrusive,FEL
igneous felsic intrusive; meta-igneous felsic,FEL
