SITEID,SAMPLEID,HgCOMP
2007190001,2007190001001,21.9551
2007190001,2007190001002,15.8921
2007190002,2007190002002,11.9989
2007190003,2007190003001,11.1196
2007190213,2007190213001,9.6405
2007190003,2007190003002,6.357
2007190213,2007190213002,6.6763
2007190004,2007190004001,21.3542
2007190004,2007190004002,11.32615
2007190005,2007190005001,17.121
2007190005,2007190005002,15.9243
2007190007,2007190007001,11.5754
2007190007,2007190007002,15.0267
2007190009,2007190009001,15.3136
2007190009,2007190009002,5.8989
2007190010,2007190010001,5.3183
2007190010,2007190010002,6.9236
2007190011,2007190011001,14.87485
2007190011,2007190011002,13.6224
2007190012,2007190012001,11.3496
2007190012,2007190012002,7.2814
2007190013,2007190013001,10.8813
2007190013,2007190013002,11.36
2007190014,2007190014001,25.915
2007190014,2007190014002,14.7095
2007190015,2007190015001,28.824
2007190015,2007190015002,23.8917
2007190016,2007190016001,3.4484
2007190016,2007190016002,2.3554
2007190017,2007190017001,13.50705
2007190017,2007190017002,7.9443
2007190018,2007190018001,16.96675
2007190018,2007190018002,23.0742
2007190019,2007190019001,33.9723
2007190019,2007190019002,21.6591
2007190021,2007190021001,14.6306
2007190021,2007190021002,2.8178
2007190022,2007190022001,10.6289
2007190022,2007190022002,8.1381
2007190023,2007190023001,7.88445
2007190023,2007190023002,3.9435
2007190024,2007190024001,2.5171
2007190024,2007190024002,5.2963
2007190025,2007190025001,11.7242
2007190025,2007190025002,8.1163
2007190028,2007190028001,40.3377
2007190028,2007190028002,30.4738
2007190029,2007190029001,24.0714
2007190029,2007190029002,23.0817
2007190031,2007190031001,7.4363
2007190031,2007190031002,6.0484
2007190032,2007190032001,183.0782
2007190032,2007190032002,36.025
2007190033,2007190033001,15.3827
2007190033,2007190033002,4.3804
2007190034,2007190034001,20.41965
2007190035,2007190035001,9.2107
2007190876,2007190876001,12.4311
2007190035,2007190035002,9.3952
2007190876,2007190876002,11.7573
2007190036,2007190036001,11.7892
2007190036,2007190036002,9.8255
2007190038,2007190038001,16.459
2007190038,2007190038002,14.2017
2007190039,2007190039001,11.74035
2007190984,2007190984001,12.1789
2007190039,2007190039002,12.556
2007190984,2007190984002,11.3567
2007190041,2007190041001,15.2878
2007190041,2007190041002,8.1869
2007190042,2007190042001,57.3623
2007190042,2007190042002,32.8709
2007190043,2007190043001,33.4885
2007190043,2007190043002,45.2055
2007190044,2007190044001,4.9591
2007190044,2007190044002,6.3247
2007190048,2007190048001,31.3126
2007190048,2007190048002,24.8805
2007190050,2007190050001,11.946
2007191481,2007191481001,19.3704
2007190050,2007190050002,10.823
2007191481,2007191481002,17.8277
2007190051,2007190051001,15.4992
2007190051,2007190051002,10.638
2007190052,2007190052001,27.3373
2007190052,2007190052002,9.8827
2007190053,2007190053001,22.8831
2007190053,2007190053002,22.0198
2007190054,2007190054001,21.5224
2007190054,2007190054002,24.0259
2007190055,2007190055001,16.7832
2007190055,2007190055002,8.97605
2007190056,2007190056001,37.2617
2007190056,2007190056002,24.3286
2007190057,2007190057001,7.5855
2007190057,2007190057002,5.0952
2007190058,2007190058001,10.0719
2007190058,2007190058002,2.209
2007190059,2007190059001,22.6587
2007190059,2007190059002,30.562
2007190062,2007190062001,17.0883
2007190062,2007190062002,17.6265
2007190063,2007190063001,32.9866
2007190063,2007190063002,28.262
2007190064,2007190064001,18.5269
2007190064,2007190064002,9.7386
2007190065,2007190065001,14.1095
2007190065,2007190065002,11.124
2007190066,2007190066001,16.9532
2007190066,2007190066002,14.98435
2007190067,2007190067001,13.8192
2007191121,2007191121001,13.0504
2007190067,2007190067002,18.45365
2007191121,2007191121002,15.9587
2007190068,2007190068001,16.0355
2007190068,2007190068002,26.6547
2007190069,2007190069001,16.2003
2007190069,2007190069002,19.6463
2007190070,2007190070001,2.4457
2007190070,2007190070002,1.312
2007190071,2007190071001,8.1011
2007190289,2007190289001,13.4506
2007190071,2007190071002,15.0838
2007190072,2007190072001,6.6702
