DB,SITEID,DATE,LAT,LON,STATE,DUPL,SAMPLEID,GRAINSIZE,DEPTH,Al,As,Ba,Bi,Ca,CdICPMS,CdAR,Ce,Co,Cr,Cs,CuICPMS,CuAR,F,Fe,Ga,Ge,Hg,K,La,Li,Mg,Mn,MoICPMS,MoAR,Na,Nb,NiCPMS,NiAR,P,PbICPMS,PbAR,Pr,Rb,SbICPMS,SbAR,Sc,Se,Si,Sm,SnICPMS,SnAR,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,ZnICPMS,ZnAR,ZrICPMS,ZrAR,FIELDpH,pH15,EC15,SAND,SILT,CLAY,LOI
geochem,2007190001,09.08.2008,-12.6551,142.2717,QLD,,2007190001002 Fine,lt75,BOS,75335,6.6,141.9,0.27,1051,0.12,0.01,55.13,17.6,102.6,4.54,23.6,17.8,120,51133,18.2,0.7,0.03,2233,24.66,24.7,3105,387,0.5,0.35,1291,12.5,25,14.8,257,15.5,13.5,6.17,25.6,0.4,0.1,18.7,0.22,301118,5.49,1.7,0.92,42.5,0.87,0.98,0.07,10.5,6850,0.1,0.1,3.21,146.5,1.6,33.1,3.89,37.5,25,963.2,4.3,7,5.17,7.79,53.54,25.86,20.6,11.6
geochem,2007190002,09.08.2008,-13.1195,141.9851,QLD,,2007190002002 Fine,lt76,BOS,79559,5.7,281.4,0.21,1687,0.1,0.02,101.6,34.1,115.4,4.05,14.9,10.6,220,52154,19.4,0.5,0.01,3777,48.4,17,5270,410,0.5,0.28,2003,12.2,35,25.5,284,15.28,12.6,13.29,31.5,0.4,0.09,17,0.18,284871,12.91,1.4,0.76,72.3,0.85,2.2,0.07,10.22,7156,0.08,0.5,2.68,137.9,1.5,68.9,5.95,69.8,52.6,683.8,4,6.5,5.18,8.2,35.46,38.26,26.28,13.3
geochem,2007190003,02.04.2008,-22.7017,114.8976,WA,2007190213,2007190003002 Fine,lt77,BOS,62007,5.8,440.8,0.51,6275,0.12,0.06,74.74,11.6,71.5,4.84,27.6,24.3,460,43118,14.7,0.76,0.01,18569,41.44,14.7,6090,589,0.6,0.3,6558,14.7,24,19.3,340,23.29,14.6,8.67,112.1,1.2,0.29,14.4,0.06,329910,6.514,1.9,0.76,89.1,1.51,0.89,0.05,20.06,5843,0.26,0.1,4.63,96.5,2,32.8,3.222,49.3,58.5,608.1,7.3,8,6.595,17.07,77.33,16.96,5.71,5.3
geochem,2007190004,03.05.2008,-22.7363,116.122,WA,,2007190004002 Fine,lt78,BOS,66221,10.8,363.3,0.41,8319,0.1,0.12,62.11,19.9,133.9,6.04,50.4,47.3,520,72870,16.2,0.97,0.01,14967,32.11,14.4,10179,829,0.8,0.49,3301,12.8,46.5,39,384,18.4,13.2,6.85,97.7,3,0.57,17.6,0.14,288881,5.364,2.3,0.8,59.6,1.08,0.864,0.07,13.18,6125,0.15,0.1,2.74,147.1,1.9,30.3,2.925,81.6,63.4,302.9,7,8,7.34,53.5,42.09,42.56,15.35,8.9
geochem,2007190005,29.08.2007,-27.8225,153.0022,QLD,2007191059,2007190005002 Fine,lt79,BOS,75208,6,554.4,0.12,10513,0.48,0.12,98.09,25,109.2,2.71,15.3,32.2,220,43971,17.5,0.5,0.04,14610,48.4,9.1,5270,914,0.5,1.01,17909,24.3,27.6,29.7,982,15.82,11.1,11.38,61.8,0.4,0.13,12.2,0.02,286423,8.99,1.3,1.15,255,1.37,1.05,0.03,16.58,11525,0.09,0.2,2.78,111,1.3,34.3,3.21,88.3,45.5,661.5,6.7,6.5,6.55,19.97,75.77,18.06,6.17,9.3
geochem,2007190007,10.05.2008,-24.1167,118.3824,WA,,2007190007002 Fine,lt80,BOS,63580,9.4,412.9,0.38,15838,0.2,0.1,57.17,19,149.5,6.41,46.7,40.8,540,63974,15.7,0.95,0.02,13099,29.7,13.7,9624,960,0.5,0.61,2025,15.5,50.1,35.9,292,16.78,11.4,6.3,91.8,0.4,0.4,17.1,0.17,291073,4.863,2.2,1.03,62.5,1.32,0.869,0.04,14.56,8210,0.14,0.1,2.84,158.1,1.9,31.9,3.107,66.1,94,446.5,11.5,8,8.445,48.6,63.76,26.1,10.13,9.2
geochem,2007190009,04.02.2008,-29.5469,148.5809,NSW,,2007190009002 Fine,lt81,BOS,60181,7.2,371,0.28,6754,0.1,0.02,59.18,15.5,83.4,4.65,18.6,14.6,240,27570,12.3,0.54,0.02,14660,27.81,9.9,4052,759,0.8,0.34,9081,14,25.9,21.6,279,15.84,9.16,6.57,89,0.4,0.1,12.4,0.03,330284,5.57,6.7,0.8,137.7,1.1,0.993,0.03,12.31,6335,0.14,0.2,2.68,74.6,1.7,38.8,3.945,52.1,38.7,674.3,9.9,8,7.405,39.25,46.77,33.19,20.03,8.1
geochem,2007190010,10.04.2008,-17.1653,131.413,NT,,2007190010002 Fine,lt82,BOS,50442,4.5,216,0.19,43089,0.1,0.04,36.16,28,24.7,1.39,51.1,44.7,340,55078,13.4,0.6,0.01,14020,22.52,11.4,12603,651,0.3,0.23,5305,10.1,18.6,12.6,353,9.18,5.88,5,56.9,0.4,0.09,23.8,0.09,267128,4.776,2,1.06,61,0.8,0.896,0.02,9.22,6694,0.07,0.2,2.15,180.3,1.2,33.4,3.488,58.3,60.6,760.2,6.9,8.5,8.025,45.95,68.58,22.87,8.55,13.5
geochem,2007190011,31.10.2007,-28.3459,146.8424,QLD,,2007190011002 Fine,lt83,BOS,71043,6.3,270,0.27,3331,0.42,0.07,58.47,13.1,69.4,3.44,18.5,17.1,220,33606,17.8,0.6,0.01,5894,27.31,11.6,4969,604,0.3,0.34,2144,13.4,23.7,16.2,201,15.02,9.43,6.15,51.5,0.4,0.1,12.6,0.02,316519,5.21,3.2,1.36,105.6,0.88,0.7,0.04,9.78,6119,0.19,0.2,2.03,103.1,1.4,29.2,2.92,48,32.4,556.7,9,9,6.88,62.9,40.92,43.39,15.69,10.4
geochem,2007190012,31.03.2008,-22.9801,145.2473,QLD,,2007190012002 Fine,lt84,BOS,71958,5.9,513.3,0.23,33841,0.1,0.05,44.19,12.6,53.8,2.96,13.5,10.2,640,30613,14.6,0.55,0.01,11812,23.16,37.3,6675,867,0.9,0.74,18562,7.6,30.4,17,602,9.86,6.51,5.6,50.9,0.4,0.06,10.9,0.12,277823,4.912,1.3,0.44,342.5,0.56,0.774,0.02,6.16,4429,0.08,0.1,2.96,96.2,1.1,25.2,2.265,78.7,74.3,239.5,5.7,8.5,8.595,2415,50.29,35.45,14.27,11.4
