SITEID,DATE,LAT,LON,STATE,DUPL,SAMPLEID,GS,DEPTH,pc.02.06,pc.06.12,pc.12.24,pc.24.49,pc.49.98,pc.98-2,pc2-3.9,pc3.9-4,pc4-7.8,pc7.8-15.6,pc15.6-20,pc20-31,pc31-37,pc37-44,pc44-50,pc50-53,pc53-62.5,pc62.5-74,pc74-75,pc75-88,pc88-100,pc100-105,pc105-125,pc125-149,pc149-177,pc17-200,pc200-210,pc210-250,pc250-300,pc300-350,pc350-420,pc420-500,pc500-590,pc590-710,pc710-840,pc840-1000,pc1000-1190,pc1190-1410,pc1410-1680,pc1680-2000
2007190001,09.08.2008,-12.6551,142.2717,QLD,,2007190001002 Bulk,bulk,BOS,0,0,0.009816,2.304363,6.795696,11.488493,10.938713,0.350878,7.452473,5.56899,1.549347,2.100518,0.895132,1.23494,1.322037,0.758377,2.796796,3.974004,0.364137,4.866142,4.457527,1.791114,6.543897,6.309498,5.328579,3.055382,1.037117,2.877373,1.805944,0.778426,0.549035,0.43439,0.260866,0,0,0,0,0,0,0
2007190001,09.08.2008,-12.6551,142.2717,QLD,,2007190001002 Coarse,lt2mm,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190001,09.08.2008,-12.6551,142.2717,QLD,,2007190001002 Fine,lt75mcr,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190002,09.08.2008,-13.1195,141.9851,QLD,,2007190002002 Bulk,bulk,BOS,0,0,0.042547,3.190064,8.586242,14.462555,14.071456,0.468395,10.801557,9.848941,3.069395,4.436866,1.584666,1.618248,1.330534,0.664692,2.134881,2.621422,0.226883,2.89247,2.492525,0.97051,3.42303,3.141324,2.540691,1.411986,0.47265,1.299716,0.837872,0.442932,0.362287,0.262951,0.189102,0.100609,0,0,0,0,0,0
2007190002,09.08.2008,-13.1195,141.9851,QLD,,2007190002002 Coarse,lt2mm,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190002,09.08.2008,-13.1195,141.9851,QLD,,2007190002002 Fine,lt75mcr,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190003,02.04.2008,-22.7017,114.8976,WA,2007190213,2007190003002 Bulk,bulk,BOS,0,0,0,0.562279,1.542691,3.605133,5.099963,0.197657,4.940064,4.910338,1.816067,3.866563,2.131199,2.592903,2.279146,1.144293,3.579061,4.097119,0.339356,4.135513,3.344754,1.264664,4.391208,4.161195,3.868161,2.703043,1.089109,4.02044,4.525507,4.087976,4.970092,4.56416,3.80147,3.277772,1.86085,0.870372,0.30162,0.058263,0,0
2007190003,02.04.2008,-22.7017,114.8976,WA,2007190213,2007190003002 Coarse,lt2mm,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190003,02.04.2008,-22.7017,114.8976,WA,2007190213,2007190003002 Fine,lt75mcr,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190004,03.05.2008,-22.7363,116.122,WA,,2007190004002 Bulk,bulk,BOS,0,0,0.031528,1.89728,4.547636,8.877171,11.496397,0.455477,12.449308,13.537823,4.616364,8.19586,3.581825,3.714506,2.833646,1.301544,3.642021,3.524895,0.2662,2.949584,2.028383,0.68923,2.07342,1.521657,1.061727,0.579482,0.205375,0.669513,0.678103,0.605935,0.749273,0.655842,0.443929,0.119064,0,0,0,0,0,0
2007190004,03.05.2008,-22.7363,116.122,WA,,2007190004002 Coarse,lt2mm,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190004,03.05.2008,-22.7363,116.122,WA,,2007190004002 Fine,lt75mcr,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190005,29.08.2007,-27.8225,153.0022,QLD,2007191059,2007190005002 Bulk,bulk,BOS,0,0,0,0.436373,1.742112,3.991664,5.446606,0.217499,5.601794,5.143616,1.647532,2.939412,1.260731,1.263096,0.93546,0.426259,1.218622,1.341977,0.115109,1.559362,1.618321,0.741539,3.398912,4.896539,6.437593,5.495619,2.3723,9.009456,9.546988,7.340506,6.976092,4.42589,2.209825,0.243198,0,0,0,0,0,0
2007190005,29.08.2007,-27.8225,153.0022,QLD,2007191059,2007190005002 Coarse,lt2mm,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190005,29.08.2007,-27.8225,153.0022,QLD,2007191059,2007190005002 Fine,lt75mcr,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190007,10.05.2008,-24.1167,118.3824,WA,,2007190007002 Bulk,bulk,BOS,0,0,0,1.131442,3.077926,5.924321,7.155973,0.271277,7.21451,8.315055,3.147688,6.025955,2.894031,3.314356,2.838584,1.419407,4.471919,5.250214,0.442621,5.499016,4.57209,1.749233,6.075236,5.50838,4.470638,2.519296,0.853242,2.382128,1.551803,0.780572,0.544193,0.31144,0.196103,0.09135,0,0,0,0,0,0
2007190007,10.05.2008,-24.1167,118.3824,WA,,2007190007002 Coarse,lt2mm,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190007,10.05.2008,-24.1167,118.3824,WA,,2007190007002 Fine,lt75mcr,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190009,04.02.2008,-29.5469,148.5809,NSW,,2007190009002 Bulk,bulk,BOS,0,0,0,1.614368,5.851097,12.567886,14.134629,0.477791,10.069375,6.562277,1.950153,3.835977,1.904122,2.139189,1.773224,0.867401,2.670614,3.080734,0.259634,3.25837,2.791656,1.097499,3.986502,3.942757,3.563368,2.241595,0.817262,2.537688,2.050614,1.342458,1.247076,0.875316,0.48221,0.007158,0,0,0,0,0,0
2007190009,04.02.2008,-29.5469,148.5809,NSW,,2007190009002 Coarse,lt2mm,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190009,04.02.2008,-29.5469,148.5809,NSW,,2007190009002 Fine,lt75mcr,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190010,10.04.2008,-17.1653,131.413,NT,,2007190010002 Bulk,bulk,BOS,0,0,0,0.663893,2.258438,5.630397,8.137335,0.318223,7.519537,5.372059,1.523095,2.7137,1.149675,1.137729,0.851275,0.398706,1.219677,1.548191,0.14322,2.05838,2.232471,1.020374,4.514851,5.97451,7.076651,5.505376,2.250843,7.961149,7.548654,5.23096,4.47656,2.528155,0.899545,0.136371,0,0,0,0,0,0
2007190010,10.04.2008,-17.1653,131.413,NT,,2007190010002 Coarse,lt2mm,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190010,10.04.2008,-17.1653,131.413,NT,,2007190010002 Fine,lt75mcr,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190011,31.10.2007,-28.3459,146.8424,QLD,,2007190011002 Bulk,bulk,BOS,0,0,0,0.977562,4.275898,10.440986,12.674774,0.460201,11.914323,13.722623,4.617244,6.874028,2.460317,2.345752,1.708657,0.771236,2.137966,2.081312,0.159395,1.816826,1.347548,0.491913,1.682262,1.641116,1.650331,1.238997,0.515324,1.943337,2.178618,1.896256,2.168742,1.806302,1.255362,0.659275,0.085516,0,0,0,0,0
2007190011,31.10.2007,-28.3459,146.8424,QLD,,2007190011002 Coarse,lt2mm,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190011,31.10.2007,-28.3459,146.8424,QLD,,2007190011002 Fine,lt75mcr,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190012,31.03.2008,-22.9801,145.2473,QLD,,2007190012002 Bulk,bulk,BOS,0,0,0,1.610725,4.506458,8.149125,9.641539,0.371813,10.032193,11.160888,4.240709,9.330777,4.897918,5.408062,4.225743,1.943678,5.364506,4.957201,0.360263,3.795859,2.343545,0.72999,1.92218,1.053609,0.500422,0.212582,0.076888,0.318438,0.485568,0.537001,0.705531,0.609013,0.401576,0.106203,0,0,0,0,0,0
2007190012,31.03.2008,-22.9801,145.2473,QLD,,2007190012002 Coarse,lt2mm,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190012,31.03.2008,-22.9801,145.2473,QLD,,2007190012002 Fine,lt75mcr,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190013,07.05.2008,-25.8488,135.2452,NT,,2007190013002 Bulk,bulk,BOS,0,0,0,0.201601,1.000289,2.357467,3.291137,0.132505,3.472743,3.74239,1.463105,2.245496,0.604059,0.503638,0.482485,0.308271,1.425552,2.781153,0.29415,4.537795,5.061584,2.268534,9.459927,11.0523,11.233187,7.557102,2.823989,8.836903,6.818233,3.776183,2.145432,0.122788,0,0,0,0,0,0,0,0
2007190013,07.05.2008,-25.8488,135.2452,NT,,2007190013002 Coarse,lt2mm,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007190013,07.05.2008,-25.8488,135.2452,NT,,2007190013002 Fine,lt75mcr,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
