"SITEID","TARGSITEID","SAMPLEID","HgCOMP"
2007190001,"TS0866",2007190001001,21.9551
2007190001,"TS0866",2007190001002,15.8921
2007190002,"TS0869",2007190002002,11.9989
2007190003,"TS0321",2007190003001,11.1196
2007190003,"TS0321",2007190003002,6.357
2007190004,"TS0339",2007190004001,21.3542
2007190004,"TS0339",2007190004002,11.32615
2007190005,"TS1137",2007190005001,17.121
2007190005,"TS1137",2007190005002,15.9243
2007190007,"TS0375",2007190007001,11.5754
2007190007,"TS0375",2007190007002,15.0267
2007190009,"TS1183",2007190009001,15.3136
2007190009,"TS1183",2007190009002,5.8989
2007190010,"TS0716",2007190010001,5.3183
2007190010,"TS0716",2007190010002,6.9236
2007190011,"TS1149",2007190011001,14.87485
2007190011,"TS1149",2007190011002,13.6224
2007190012,"TS1022",2007190012001,11.3496
2007190012,"TS1022",2007190012002,7.2814
2007190013,"TS0856",2007190013001,10.8813
2007190013,"TS0856",2007190013002,11.36
2007190014,"TS1338",2007190014001,25.915
2007190014,"TS1338",2007190014002,14.7095
2007190015,"TS1036",2007190015001,28.824
2007190015,"TS1036",2007190015002,23.8917
2007190016,"TS0552",2007190016001,3.4484
2007190016,"TS0552",2007190016002,2.3554
2007190017,"TS0279",2007190017001,13.50705
2007190017,"TS0279",2007190017002,7.9443
2007190018,"TS0554",2007190018001,16.96675
2007190018,"TS0554",2007190018002,23.0742
2007190019,"TS1294",2007190019001,33.9723
2007190019,"TS1294",2007190019002,21.6591
2007190021,"TS1134",2007190021001,14.6306
2007190021,"TS1134",2007190021002,2.8178
2007190022,"TS1172",2007190022001,10.6289
2007190022,"TS1172",2007190022002,8.1381
2007190023,"TS1018",2007190023001,7.88445
2007190023,"TS1018",2007190023002,3.9435
2007190024,"TS0212",2007190024001,2.5171
2007190024,"TS0212",2007190024002,5.2963
2007190025,"TS0997",2007190025001,11.7242
2007190025,"TS0997",2007190025002,8.1163
2007190028,"TS0576",2007190028001,40.3377
2007190028,"TS0576",2007190028002,30.4738
2007190029,"TS0559",2007190029001,24.0714
2007190029,"TS0559",2007190029002,23.0817
2007190031,"TS1200",2007190031001,7.4363
2007190031,"TS1200",2007190031002,6.0484
2007190032,"TS1317",2007190032001,183.0782
2007190032,"TS1317",2007190032002,36.025
2007190033,"TS0845",2007190033001,15.3827
2007190033,"TS0845",2007190033002,4.3804
2007190034,"TS0377",2007190034001,20.41965
2007190035,"TS0968",2007190035001,9.2107
2007190035,"TS0968",2007190035002,9.3952
2007190036,"TS1111",2007190036001,11.7892
2007190036,"TS1111",2007190036002,9.8255
2007190038,"TS0764",2007190038001,16.459
2007190038,"TS0764",2007190038002,14.2017
2007190039,"TS0515",2007190039001,11.74035
2007190039,"TS0515",2007190039002,12.556
2007190041,"TS0967",2007190041001,15.2878
2007190041,"TS0967",2007190041002,8.1869
2007190042,"TS1367",2007190042001,57.3623
2007190042,"TS1367",2007190042002,32.8709
2007190043,"TS0581",2007190043001,33.4885
2007190043,"TS0581",2007190043002,45.2055
2007190044,"TS1030",2007190044001,4.9591
2007190044,"TS1030",2007190044002,6.3247
2007190048,"TS0310",2007190048001,31.3126
2007190048,"TS0310",2007190048002,24.8805
2007190050,"TS0273",2007190050001,11.946
2007190050,"TS0273",2007190050002,10.823
2007190051,"TS1122",2007190051001,15.4992
2007190051,"TS1122",2007190051002,10.638
2007190052,"TS0620",2007190052001,27.3373
2007190052,"TS0620",2007190052002,9.8827
2007190053,"TS1276",2007190053001,22.8831
2007190053,"TS1276",2007190053002,22.0198
2007190054,"TS0140",2007190054001,21.5224
2007190054,"TS0140",2007190054002,24.0259
2007190055,"TS0670",2007190055001,16.7832
2007190055,"TS0670",2007190055002,8.97605
2007190056,"TS1343",2007190056001,37.2617
2007190056,"TS1343",2007190056002,24.3286
2007190057,"TS1224",2007190057001,7.5855
2007190057,"TS1224",2007190057002,5.0952
2007190058,"TS0627",2007190058001,10.0719
2007190058,"TS0627",2007190058002,2.209
2007190059,"TS0043",2007190059001,22.6587
2007190059,"TS0043",2007190059002,30.562
2007190062,"TS1235",2007190062001,17.0883
2007190062,"TS1235",2007190062002,17.6265
2007190063,"TS0760",2007190063001,32.9866
2007190063,"TS0760",2007190063002,28.262
2007190064,"TS1370",2007190064001,18.5269
2007190064,"TS1370",2007190064002,9.7386
2007190065,"TS0942",2007190065001,14.1095
2007190065,"TS0942",2007190065002,11.124
2007190066,"TS0272",2007190066001,16.9532
2007190066,"TS0272",2007190066002,14.98435
2007190067,"TS0561",2007190067001,13.8192
2007190067,"TS0561",2007190067002,18.45365
2007190068,"TS1271",2007190068001,16.0355
2007190068,"TS1271",2007190068002,26.6547
2007190069,"TS0982",2007190069001,16.2003
2007190069,"TS0982",2007190069002,19.6463
2007190070,"TS0109",2007190070001,2.4457
2007190070,"TS0109",2007190070002,1.312
2007190071,"TS0586",2007190071001,8.1011
2007190071,"TS0586",2007190071002,15.0838
2007190072,"TS0093",2007190072001,6.6702
2007190072,"TS0093",2007190072002,5.7032
2007190073,"TS0598",2007190073001,18.784
2007190073,"TS0598",2007190073002,13.73203333
2007190074,"TS0110",2007190074001,14.2173
2007190074,"TS0110",2007190074002,11.6886
2007190075,"TS0361",2007190075001,9.8538
2007190075,"TS0361",2007190075002,11.0808
2007190076,"TS0304",2007190076001,20.9538
2007190076,"TS0304",2007190076002,5.4472
2007190077,"TS1189",2007190077001,11.37655
2007190077,"TS1189",2007190077002,8.35135
2007190078,"TS1272",2007190078001,12.4941
2007190078,"TS1272",2007190078002,10.4565
